Date,Close/Last,Volume,Open,High,Low
04/03/2023,410.95,67391100,408.85,411.37,408.44
03/31/2023,409.39,112062600,404.66,409.70,404.55
03/30/2023,403.70,69840050,404.09,404.35,401.76
03/29/2023,401.35,77497880,399.925,401.60,398.68
03/28/2023,395.60,62871680,395.77,396.49,393.69
03/27/2023,396.49,74010410,398.12,398.92,395.56
03/24/2023,395.75,107770100,391.841,395.84,389.40
03/23/2023,393.17,119351300,395.09,399.29,390.35
03/22/2023,392.11,111746600,398.73,402.49,392.07
03/21/2023,398.91,91524250,397.24,399.41,395.58
03/20/2023,393.74,93055780,390.80,394.17,390.07
03/17/2023,389.99,140553400,393.22,394.40,388.55
03/16/2023,396.11,143753900,386.82,396.47,386.29
03/15/2023,389.28,172996900,385.89,389.49,383.71
03/14/2023,391.73,149752400,390.50,393.45,387.05
03/13/2023,385.36,157790000,381.81,390.39,380.65
03/10/2023,385.91,189253000,390.99,393.16,384.32
03/09/2023,391.56,111945300,399.74,401.48,390.53
03/08/2023,398.92,74746630,398.39,399.71,396.59
03/07/2023,398.27,108310600,404.42,404.67,397.625
03/06/2023,404.47,72795950,405.05,407.45,404.01
03/03/2023,404.19,90119950,399.71,404.45,399.03
03/02/2023,397.81,85404730,392.68,398.69,392.33
03/01/2023,394.74,99706820,395.41,396.69,393.38
02/28/2023,396.26,96438570,397.23,399.28,396.15
02/27/2023,397.73,80444740,399.87,401.29,396.75
02/24/2023,396.38,108194400,395.42,397.25,393.64
02/23/2023,400.66,96242400,401.56,402.20,396.25
02/22/2023,398.54,83742290,399.52,401.13,397.02
02/21/2023,399.09,82655920,403.06,404.16,398.82
02/17/2023,407.26,89257820,406.06,407.51,404.05
02/16/2023,408.28,76431470,408.79,412.91,408.14
02/15/2023,413.98,61685280,410.35,414.06,409.47
02/14/2023,412.64,88389310,411.24,415.05,408.511
02/13/2023,412.83,64913540,408.72,412.97,408.24
02/10/2023,408.04,70769720,405.86,408.44,405.01
02/09/2023,407.09,78694860,414.41,414.57,405.81
02/08/2023,410.65,76227460,413.13,414.53,409.93
02/07/2023,415.19,90990750,408.87,416.49,407.57
02/06/2023,409.83,60295330,409.79,411.29,408.10
02/03/2023,412.35,94736780,411.59,416.97,411.09
02/02/2023,416.78,101654500,414.86,418.31,412.88
02/01/2023,410.80,101459200,405.211,413.67,402.35
01/31/2023,406.48,86811790,401.13,406.53,400.77
01/30/2023,400.59,74202020,402.80,405.13,400.28
01/27/2023,405.68,68346180,403.655,408.16,403.44
01/26/2023,404.75,72287430,403.13,404.92,400.03
01/25/2023,400.35,84800250,395.95,400.70,393.56
01/24/2023,400.20,59524910,398.88,401.15,397.64
01/23/2023,400.63,84178800,396.72,402.645,395.72
01/20/2023,395.88,91806360,390.10,396.04,388.38
01/19/2023,388.64,86958920,389.36,391.08,387.26
01/18/2023,391.49,99632260,399.01,400.12,391.28
01/17/2023,397.77,62677280,398.48,400.23,397.06
01/13/2023,398.50,63903930,393.62,399.10,393.34
01/12/2023,396.96,90157700,396.67,398.485,392.42
01/11/2023,395.52,68881080,392.23,395.60,391.38
01/10/2023,390.58,65358090,387.25,390.65,386.27
01/09/2023,387.86,73978070,390.37,393.70,387.67
01/06/2023,388.08,104189600,382.61,389.25,379.4127
01/05/2023,379.38,76970460,381.72,381.84,378.76
01/04/2023,383.76,85934100,383.18,385.88,380.00
01/03/2023,380.82,74850730,384.37,386.43,377.831
12/30/2022,382.43,84022210,380.64,382.58,378.43
12/29/2022,383.44,66970880,379.63,384.35,379.08
12/28/2022,376.66,70911520,381.33,383.39,376.42
12/27/2022,381.40,51638180,382.79,383.15,379.65
12/23/2022,382.91,59857330,379.65,383.06,378.03
12/22/2022,380.72,100120900,383.05,386.2134,374.77
12/21/2022,386.23,78167370,383.25,387.41,382.69
12/20/2022,380.54,74427240,379.23,382.23,377.85
12/19/2022,380.02,79878100,383.47,383.82,378.28
12/16/2022,383.27,119858000,385.18,386.575,381.04
12/15/2022,389.63,117705900,394.30,395.25,387.885
12/14/2022,399.40,108111300,401.61,405.50,396.31
12/13/2022,401.97,123782500,410.22,410.49,399.07
12/12/2022,398.95,75405840,394.11,398.95,393.412
12/09/2022,393.28,81447730,394.94,397.62,393.15
12/08/2022,396.24,60737910,395.14,397.36,393.2684
12/07/2022,393.16,65927900,392.94,395.64,391.97
12/06/2022,393.83,77972220,399.42,399.99,391.64
12/05/2022,399.59,77289820,403.95,404.93,398.17
12/02/2022,406.91,85342730,402.25,407.86,402.14
12/01/2022,407.38,76398170,408.77,410.00,404.75
11/30/2022,407.68,144566700,395.49,407.68,393.48
11/29/2022,395.23,52310040,396.05,397.30,393.30
11/28/2022,395.91,68021750,399.09,400.81,395.11
11/25/2022,402.33,30545430,401.83,402.91,401.535
11/23/2022,402.42,68261630,399.55,402.93,399.31
11/22/2022,399.90,60429030,396.63,400.07,395.1527
11/21/2022,394.59,51243190,394.64,395.82,392.66
11/18/2022,396.03,92922450,397.74,397.81,393.04
11/17/2022,394.24,74496260,390.46,394.95,390.14
11/16/2022,395.45,68508450,396.78,397.78,394.79
11/15/2022,398.49,93194450,401.15,402.31,394.49
11/14/2022,395.12,71893170,396.66,400.1799,394.83
11/11/2022,398.51,93839870,395.59,399.35,393.61
11/10/2022,394.69,141455800,388.05,395.04,385.642
11/09/2022,374.13,78495470,379.93,381.14,373.61
11/08/2022,382.00,84641060,381.11,385.12,377.72
11/07/2022,379.95,68286950,377.71,380.57,375.53
11/04/2022,376.35,103505200,377.00,378.87,370.00
11/03/2022,371.01,87100120,371.465,374.20,368.79
11/02/2022,374.87,126990400,383.90,388.63,374.76
11/01/2022,384.52,85407600,390.14,390.39,383.29
10/31/2022,386.21,96631260,386.44,388.40,385.26
10/28/2022,389.02,100302000,379.87,389.52,379.68
10/27/2022,379.98,81971760,383.07,385.00,379.33
10/26/2022,382.02,104087300,381.62,387.58,381.35
10/25/2022,384.92,78846350,378.79,385.25,378.671
10/24/2022,378.87,85436910,375.89,380.06,373.11
10/21/2022,374.29,131038400,365.12,374.80,363.54
10/20/2022,365.41,88283090,368.03,372.67,364.61
10/19/2022,368.50,79746860,368.99,371.85,365.55
10/18/2022,371.13,97162850,375.13,375.45,367.52
10/17/2022,366.82,93168230,364.01,367.9799,357.2808
10/14/2022,357.63,123737000,368.55,370.26,356.96
10/13/2022,365.97,147254500,349.205,367.51,348.11
10/12/2022,356.56,76991800,358.17,359.8179,356.30
10/11/2022,357.74,92482790,358.235,363.03,355.71
10/10/2022,360.02,76042770,363.96,364.21,357.67
10/07/2022,362.79,107789500,368.97,373.2933,360.94
10/06/2022,373.20,82333540,375.62,378.72,372.68
10/05/2022,377.09,88065670,373.39,379.46,370.95
10/04/2022,377.97,103602800,372.40,378.00,366.5677
10/03/2022,366.61,89756480,361.08,368.55,359.21
09/30/2022,357.18,153711200,361.80,365.91,357.04
09/29/2022,362.79,112952300,366.81,367.11,359.70
09/28/2022,370.53,110802200,364.38,372.30,362.60
09/27/2022,363.38,108294100,368.02,370.40,360.87
09/26/2022,364.31,92581240,366.41,370.21,363.0299
09/23/2022,367.95,122346900,370.58,370.62,363.29
09/22/2022,374.22,89472640,376.58,378.30,373.44
09/21/2022,377.39,106746600,386.11,389.31,377.38
09/20/2022,384.09,77274880,385.06,386.12,381.195
09/19/2022,388.55,73278490,382.26,388.55,382.1784
09/16/2022,385.56,103084800,384.14,386.25,382.11
09/15/2022,390.12,87633840,392.96,395.96,388.78
09/14/2022,394.60,85023750,394.47,396.20,391.12
09/13/2022,393.10,122947100,401.83,403.10,391.92
09/12/2022,410.97,69256260,408.78,411.73,408.46
09/09/2022,406.60,76706920,402.74,407.51,402.46
09/08/2022,400.38,80821680,395.39,400.86,394.12
09/07/2022,397.78,70964230,390.43,398.59,390.20
09/06/2022,390.76,76637400,393.13,394.12,388.42
09/02/2022,392.24,99632150,400.28,401.555,390.33
09/01/2022,396.42,78740080,392.89,396.78,390.04
08/31/2022,395.18,76029670,399.93,401.24,395.04
08/30/2022,398.21,85652440,403.85,404.10,396.00
08/29/2022,402.63,65370810,402.20,405.84,401.1999
08/26/2022,405.31,103087000,419.39,419.96,405.25
08/25/2022,419.51,50942250,415.24,419.56,414.09
08/24/2022,413.67,49177800,412.11,415.1101,411.39
08/23/2022,412.35,49105250,412.90,415.42,411.77
08/22/2022,413.35,77695640,417.05,417.23,412.40
08/19/2022,422.14,68016900,424.98,425.26,421.22
08/18/2022,427.89,49023210,426.86,428.61,425.50
08/17/2022,426.65,63563390,425.91,429.50,424.54
08/16/2022,429.70,59289040,427.73,431.73,426.88
08/15/2022,428.86,54048280,424.765,429.41,424.71
08/12/2022,427.10,61694540,422.03,427.21,421.03
08/11/2022,419.99,59489700,422.99,424.95,419.21
08/10/2022,419.99,68665710,418.78,420.14,416.72
08/09/2022,411.35,44931770,412.22,412.75,410.22
08/08/2022,412.99,54025970,415.25,417.62,411.83
08/05/2022,413.47,56814930,409.66,414.15,409.60
08/04/2022,414.17,45656570,414.37,415.09,412.44
08/03/2022,414.45,67820560,410.30,415.68,410.00
08/02/2022,408.06,63435420,409.12,413.00,406.82
08/01/2022,410.77,69997470,409.15,413.41,408.40
07/29/2022,411.99,87003670,407.58,413.03,406.77
07/28/2022,406.07,73966560,401.89,406.80,398.15
07/27/2022,401.04,82342110,394.36,402.88,394.05
07/26/2022,390.89,52946390,393.84,394.06,389.95
07/25/2022,395.57,53631490,395.75,396.47,393.21
07/22/2022,395.09,72197330,398.92,400.18,392.75
07/21/2022,398.79,64903860,394.16,398.84,391.63
07/20/2022,394.77,71843770,392.47,396.26,391.03
07/19/2022,392.27,78505970,386.08,392.87,385.39
07/18/2022,381.95,63203630,388.38,389.09,380.66
07/15/2022,385.13,79060380,382.55,385.25,380.54
07/14/2022,377.91,89704820,373.61,379.0498,371.04
07/13/2022,378.83,84224650,375.10,381.92,374.658
07/12/2022,380.83,62219180,383.65,386.16,378.99
07/11/2022,384.23,58366950,385.85,386.87,383.50
07/08/2022,388.67,72397770,387.27,390.64,385.66
07/07/2022,388.99,64525920,385.12,389.83,383.267
07/06/2022,383.25,70426240,382.11,385.87,379.60
07/05/2022,381.96,81437970,375.88,381.98,372.90
07/01/2022,381.24,74839730,376.56,381.70,373.80
06/30/2022,377.25,112508300,376.24,380.6582,372.56
06/29/2022,380.34,65676000,381.23,382.27,378.42
